name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost,listed_type,listed_city,price_segment,rating_category
Pathaan Sir,Yes,No,3.9,183,080 42244044,BTM,Quick Bites,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll","Fast Food, Rolls, Momos",250,Delivery,Bannerghatta Road,Low,Good
Cold Stone Creamery,Yes,No,3.9,99,080 67922488,Bannerghatta Road,Dessert Parlor,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie","Ice Cream, Desserts",400,Delivery,Bannerghatta Road,Medium,Good
Amritsari Kulcha Land,Yes,No,4.1,260,"+91 8884449474
+91 7986965273",JP Nagar,Quick Bites,"Lassi, Amritsari Kulcha, Punjabi Kulcha, Paneer Kulcha, Punjabi Chole, Aloo Kulcha, Paratha",North Indian,300,Delivery,Bannerghatta Road,Low,Excellent
Chokha Chowka,Yes,No,3.9,355,"+91 8045128659
+91 7204304000",BTM,Quick Bites,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer","North Indian, Chinese",400,Delivery,Bannerghatta Road,Medium,Good
Gorbandh,Yes,No,4.1,83,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400,Delivery,Bannerghatta Road,Medium,Excellent
Grills & Rolls,Yes,No,2.5,321,080 26593949,JP Nagar,Quick Bites,"Shawarma, Chicken Grill, Tandoori Chicken, Butter Chicken, Rolls, Chicken Tikka, Grape Juice","North Indian, Chinese, Fast Food, Rolls, Juices",400,Delivery,Bannerghatta Road,Medium,Poor
Bathinda Junction,Yes,No,3.9,362,+91 9740701619,BTM,Casual Dining,"Lassi, Shikanji, Dal Makhani, Makke Ki Roti, Butter Chicken, Paneer Punjabi, Chicken Curry",North Indian,600,Delivery,Bannerghatta Road,Medium,Good
Stories,Yes,Yes,4.2,2166,080 49653116,JP Nagar,"Pub, Casual Dining","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea","American, Chinese, Continental, North Indian",1200,Delivery,Bannerghatta Road,Premium,Excellent
Kanti Sweets,Yes,No,4,182,"080 22960634
080 41744131",JP Nagar,Sweet Shop,"Rasmalai, Pav Bhaji","Mithai, Street Food",400,Delivery,Bannerghatta Road,Medium,Excellent
Seasons,Yes,Yes,3.8,500,"+91 7411898898
+91 7411798798",Bannerghatta Road,Casual Dining,"Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000,Delivery,Bannerghatta Road,Premium,Good
Chung Wah,Yes,No,4,532,"080 41215557
080 41215333",Bannerghatta Road,Casual Dining,"Chicken Chowmein, Chicken Manchow Soup, Clear Soup, Momos, Fried Noodles, Chop Suey, Spring Roll","Chinese, Thai, Momos, Vietnamese",800,Delivery,Bannerghatta Road,Premium,Excellent
Marwa Restaurant,Yes,Yes,3.5,551,080 49653014,Bannerghatta Road,Casual Dining,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry","North Indian, Chinese, Fast Food, BBQ",600,Delivery,Bannerghatta Road,Medium,Good
Shanghai Court,Yes,No,4.2,421,080 42086199,Bannerghatta Road,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry","Chinese, Thai",700,Delivery,Bannerghatta Road,Medium,Excellent
Bhojohori Manna,Yes,No,3.7,662,"+91 9916972666
080 26593666",JP Nagar,Casual Dining,"Fish, Kosha Mangsho, Mishti Doi, Aam Panna, Prawn, Nolen Gurer Ice Cream, Luchi","Bengali, Mughlai",650,Delivery,Bannerghatta Road,Medium,Good
Hunger Bee,Yes,No,3.8,54,"+91 7337613999
+91 7338032999",Bannerghatta Road,Quick Bites,"Chicken Curry, Chicken Biryani, Jeera Rice, Paneer Biryani, Ghee Rice, Roti, Aloo Matar","Biryani, North Indian, South Indian",500,Delivery,Bannerghatta Road,Medium,Good
Yum In My Tum,Yes,No,4.1,92,+91 9108084789,BTM,Quick Bites,"Momos, Manchow Soup, Pizza Sandwich, Spring Roll, Noodles, Fries, Fried Rice","Chinese, Continental, Fast Food, Healthy Food",300,Delivery,Bannerghatta Road,Low,Excellent
Biryani Miya,Yes,No,3.7,36,080 49652509,JP Nagar,Delivery,Chicken Biryani,"Biryani, North Indian",600,Delivery,Bannerghatta Road,Medium,Good
Chulha Chauki Da Dhaba,Yes,No,4.2,2350,"080 41204283
+91 7349738056",JP Nagar,Casual Dining,"Egg Chilli, Chilli Babycorn, Chicken Curry, Sweet Lassi, Palak Paneer, Chaach, Butter Chicken",North Indian,800,Delivery,Bannerghatta Road,Premium,Excellent
Dreamcatcher,Yes,No,3.9,49,"+91 7090470823
+91 7996623818",Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600,Delivery,Bannerghatta Road,Medium,Good
Magix's Parattha Roll,Yes,No,3.7,184,080 49652620,BTM,Quick Bites,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill","Fast Food, North Indian, Chinese, Mughlai, Rolls",400,Delivery,Bannerghatta Road,Medium,Good
Elegant Dining,Yes,Yes,3.6,225,"+91 9900900063
+91 9916087820",Bannerghatta Road,Casual Dining,"Chicken Tikka, Chicken Biryani, Roti, Naan, Panneer Butter Masala","Biryani, North Indian, Chinese",700,Delivery,Bannerghatta Road,Medium,Good
Waffle Head,Yes,No,4,35,080 49653258,BTM,"Dessert Parlor, Beverage Shop","Marshmallow, Chocolate Waffles","Desserts, Beverages, Bakery, Ice Cream",300,Delivery,Bannerghatta Road,Low,Excellent
Basmati Delights,Yes,No,4,869,"080 65996599
+91 9141111222",BTM,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",500,Delivery,Bannerghatta Road,Medium,Excellent
Samosa Singh,Yes,No,4,153,"+91 7349542202
+91 9148998212",JP Nagar,Quick Bites,"Samosa, Chicken Chettinad, Murgh Makhani","Street Food, Fast Food, Rolls, Desserts",200,Delivery,Bannerghatta Road,Low,Excellent
Cravings,Yes,No,3.7,139,+91 9986624240,Bannerghatta Road,Quick Bites,"Malai Kofta, Sandwiches, Aloo Paratha, Chole Bhature, Panneer Butter Masala, Kulcha, Poori Chole","North Indian, Chinese, Rolls",400,Delivery,Bannerghatta Road,Medium,Good
Matka,Yes,No,3.7,181,+91 9513366655,Bannerghatta Road,Delivery,Biryani,"Biryani, North Indian",500,Delivery,Bannerghatta Road,Medium,Good
Punjabi Swag,Yes,No,3.9,669,"+91 9902920892
+91 9902820893",BTM,Casual Dining,"Lassi, Murgh Lababdar, Makke Ki Roti, Chaap, Butter Paneer, Butter Chicken, Patiala Paneer",North Indian,500,Delivery,Bannerghatta Road,Medium,Good
Taco Bell,Yes,No,3.7,168,"+91 8448797303
+91 8971535487",Bannerghatta Road,Quick Bites,"Tacos, Fries, Nachos, Burrito","Mexican, American, Fast Food",600,Delivery,Bannerghatta Road,Medium,Good
Mother's Rasoi,Yes,No,3.8,170,"+91 9008416337
+91 9741877160",Bannerghatta Road,Quick Bites,"Buttermilk, Dal Makhani, Boondi Raita, Baingan Bharta, Aloo Paratha, Roti, Thali","North Indian, Chinese, Momos",250,Delivery,Bannerghatta Road,Low,Good
Dosa Bazaar,Yes,No,4,112,"+91 8971331138
+91 9177782676",JP Nagar,Quick Bites,"Cheese Dosa, Tea, Pizza Dosa","Street Food, South Indian",200,Delivery,Bannerghatta Road,Low,Excellent
The Bong Palate,Yes,No,3.8,58,"+91 6363053927
+91 9886076868",BTM,Quick Bites,"Mutton Kosha, Basanti Pulao, Chicken Biryani","Bengali, North Indian, Chinese",300,Delivery,Bannerghatta Road,Low,Good
Upahara Darshini,Yes,No,4,167,+91 9845530078,Jayanagar,Quick Bites,"Vada, Coffee, Masala Dosa, Gulab Jamun, Roti, Idli, Tomato Soup","South Indian, North Indian, Chinese",400,Delivery,Bannerghatta Road,Medium,Excellent
Bikaner Jn,Yes,No,3.9,85,+91 9163568669,JP Nagar,Quick Bites,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",Rajasthani,300,Delivery,Bannerghatta Road,Low,Good
Crunch Pizzas,Yes,No,2.6,473,"+91 9538258708
+91 8884908439",BTM,Quick Bites,"Pie, Thin Crust Pizza, Cheesy Pizza, Pepperoni Pizza, Paneer Pizza","Italian, Pizza",600,Delivery,Bannerghatta Road,Medium,Poor
Kakal-Kai Ruchi,Yes,No,3.7,217,+91 9448395832,JP Nagar,Casual Dining,"Masala Dosa, Babycorn Manchurian, Filter Coffee, Chaat, Dahipuri, Masala Papad, Raagi Dosa","North Indian, South Indian, Chinese",500,Delivery,Bannerghatta Road,Medium,Good
Calorie Express,Yes,No,3.6,192,+91 9663868626,BTM,Delivery,Chicken Sandwich,Healthy Food,450,Delivery,Bannerghatta Road,Medium,Good
BANGALORE BOX,Yes,Yes,4.2,611,"+91 9901402636
+91 8049577779",BTM,"Casual Dining, Bar","Biryani, Chicken Bbq Wings, Mocktails, Sangria, Cocktails, Burgers, Pasta","Asian, Continental, Finger Food",1500,Delivery,Bannerghatta Road,Premium,Excellent
Ovenstory Pizza,Yes,No,4,166,18002700913,Bannerghatta Road,Delivery,Cheesy Pizza,Pizza,750,Delivery,Bannerghatta Road,Premium,Excellent
Slate Cafe,Yes,No,4.1,46,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600,Delivery,Bannerghatta Road,Medium,Excellent
Chavadi,Yes,Yes,4.4,2233,080 49653031,Bannerghatta Road,"Casual Dining, Bar","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles","Continental, North Indian, Pizza, Italian",1200,Delivery,Bannerghatta Road,Premium,Excellent
Nanna Munna Paratha House,Yes,No,4,107,"+91 8088120161
+91 9738720798",BTM,Quick Bites,"Paratha, Palak Paneer",North Indian,300,Delivery,Bannerghatta Road,Low,Excellent
Cucumber Town,Yes,No,4.2,306,"+91 8884566443
+91 8043365726",BTM,Delivery,"Appam, Chicken Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam, Sea Food","Kerala, North Indian",600,Delivery,Bannerghatta Road,Medium,Excellent
Oye Amritsar,Yes,Yes,3.8,756,"080 49577007
+91 9945524705",JP Nagar,Casual Dining,"Lassi, Raita, Dal Makhani, Panneer Butter Masala, Jalebi, Biryani, Paneer Tikka",North Indian,1000,Delivery,Bannerghatta Road,Premium,Good
Brewsky,Yes,Yes,4.4,4309,"+91 9880438170
+91 9880661701",JP Nagar,Microbrewery,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Drunken Chicken Wings, Cocktails, Mocktails","Continental, American",1600,Delivery,Bannerghatta Road,Premium,Excellent
Chefeana,Yes,No,4,212,+91 8050752925,Bannerghatta Road,Quick Bites,"Paratha, Chole Bhature, Lassi, Thali, Paneer Parantha",North Indian,400,Delivery,Bannerghatta Road,Medium,Excellent
Bangaliana,Yes,No,2.9,153,080 26488095,Bannerghatta Road,Quick Bites,"Masala Prawn, Mutton Kosha, Thali, Mutton Curry, Luchi, Fish Cutlet, Bengali Pulao",Bengali,600,Delivery,Bannerghatta Road,Medium,Poor
Gud Dhani,Yes,No,4,827,080 50060017,BTM,Casual Dining,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",Rajasthani,500,Delivery,Bannerghatta Road,Medium,Excellent
McDonald's,Yes,No,4,256,080 66000666,Bannerghatta Road,Quick Bites,"Burgers, Mocha Frappe, French Fries, Maharaja Mac, Oreo Shake, Egg Wrap","Burger, Fast Food",500,Delivery,Bannerghatta Road,Medium,Excellent
WAFL,Yes,No,3.9,40,+91 8951725759,Bannerghatta Road,Food Court,Waffles,"Cafe, Fast Food, Desserts, Beverages",400,Delivery,Bannerghatta Road,Medium,Good
Deejas Kitchen,Yes,No,3.9,73,+91 7259298695,Bannerghatta Road,"Takeaway, Delivery","Pothichoru, Roast Chicken, Fish Fry","South Indian, Kerala",400,Delivery,Bannerghatta Road,Medium,Good
Pancuzzi,Yes,No,4.2,169,+91 9742737794,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600,Delivery,Bannerghatta Road,Medium,Excellent
Zhang's - Chinese Restaurant,Yes,No,4.1,586,"080 26595988
080 26596420",JP Nagar,Casual Dining,"Momos, Chilli Mushroom, Chop Suey, Sweet Corn Soup, Clear Soup, Hakka Noodles, Honey Chilli Potatoes","Chinese, Momos",700,Delivery,Bannerghatta Road,Medium,Excellent
Shagun Sweets & Foods,Yes,No,3.5,221,"080 42277117
+91 9108457117",BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",400,Delivery,Bannerghatta Road,Medium,Good
Dev's Gugababa,Yes,No,3.5,177,"+91 9731495358
+91 9880417284",BTM,Quick Bites,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto","Bengali, North Indian, Chinese",500,Delivery,Bannerghatta Road,Medium,Good
Oogway Express,Yes,No,3.9,347,"080 48538853
+91 9663634567",JP Nagar,Casual Dining,"Noodles, Mocktails, Honey Chilli Potatoes, Veg Ball Manchurian, Kung Pao Chicken, Momos, Pepper Chicken","Chinese, Thai, Momos",600,Delivery,Bannerghatta Road,Medium,Good
Domino's Pizza,Yes,No,3,347,"080 26486401
18602100000",Bannerghatta Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",800,Delivery,Bannerghatta Road,Premium,Good
Pizza Stop,Yes,No,3.9,385,"+91 9663504448
+91 9880160086",JP Nagar,Quick Bites,"Tortilla Chips, Tabasco Pizza, Salsa, Mixed Sauce Pasta, White Sauce Pasta, Manali Pizza, Nawabi Pizza","Pizza, Italian",600,Delivery,Bannerghatta Road,Medium,Good
The Egg Factory,Yes,No,4,1305,080 40124848,JP Nagar,Casual Dining,"French Toast, Masala Omelette, Pasta, Egg Paratha, Caramel Custard, Biryani, Penne Alfredo","Continental, American",750,Delivery,Bannerghatta Road,Premium,Excellent
Chow San,Yes,No,3,122,"080 65655601
+91 9632247290",Bannerghatta Road,Casual Dining,Noodles,"Chinese, Thai, Momos",500,Delivery,Bannerghatta Road,Medium,Good
Momo Jojo,Yes,No,4.3,539,+91 9513808501,JP Nagar,Quick Bites,"Noodles, Corn Momo, Manchurian, Momo Platter, Veg Momos, Potato Momos, Tandoori Momos","Chinese, Tibetan, Momos",300,Delivery,Bannerghatta Road,Low,Excellent
Simply Indian,Yes,Yes,3.9,681,"+91 7022001251
+91 7022001252",Bannerghatta Road,Casual Dining,"Cocktails, Ghee Roast Mutton, Mocktails, Chicken Biryani, Malai Kofta, Chicken Chatpata, Fish","North Indian, Chinese, Seafood, Biryani, Mangalorean",800,Delivery,Bannerghatta Road,Premium,Good
Rithika's Kitchen,Yes,No,3.8,106,"+91 9901468279
+91 8904588050",JP Nagar,Delivery,"Mutton Curry, Chicken Fry, Chicken Biryani, Chicken Curry","Biryani, South Indian, Andhra",350,Delivery,Bannerghatta Road,Medium,Good
Punjabi Times,Yes,Yes,4.1,1025,080 49652597,Bannerghatta Road,Casual Dining,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha",North Indian,1000,Delivery,Bannerghatta Road,Premium,Excellent
Chai Point,Yes,No,3.6,132,+91 8880141000,Bannerghatta Road,"Beverage Shop, Quick Bites","Ginger Tea, Ginger Chai, Banana Cake, Masala Chai, Egg Sandwich, Vada Pav","Tea, Beverages, Fast Food",250,Delivery,Bannerghatta Road,Low,Good
Cravy Wings,Yes,No,4.2,289,"080 26651666
+91 8095050528",Bannerghatta Road,Quick Bites,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger","American, Burger, Fast Food",400,Delivery,Bannerghatta Road,Medium,Excellent
Funky Punjab,Yes,No,3.9,407,"+91 7829391919
+91 7760686868",JP Nagar,Casual Dining,"Lassi, Chole, Palak Paneer, Chaap, Paneer Tikka, Panneer Butter Masala, Paratha","North Indian, Chinese",500,Delivery,Bannerghatta Road,Medium,Good
Punjabi Corner,Yes,No,3.9,201,"+91 8095825008
+91 9742228347",Bannerghatta Road,Quick Bites,"Paratha, Chicken Curry","North Indian, Chinese",250,Delivery,Bannerghatta Road,Low,Good
#refuel,Yes,No,3.7,37,+91 8971227222,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400,Delivery,Bannerghatta Road,Medium,Good
Biggies Burger 'n' More,Yes,No,4.1,203,"+91 9740962288
080 41145111",JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650,Delivery,Bannerghatta Road,Medium,Excellent
Zeeshan,Yes,No,3.1,320,080 41616648,JP Nagar,Casual Dining,"Firni, Rolls, Egg Roll, Chicken Biryani, Mutton Biryani, Calcutta Biryani, Haleem","North Indian, Mughlai, Biryani, Rolls",600,Delivery,Bannerghatta Road,Medium,Good
Ambara Gardenia,Yes,Yes,3.8,257,"+91 8105266066
+91 9611911066",Bannerghatta Road,Casual Dining,"Fish Fry, Crab Sukha, Chicken Biryani, Fish Curry, Murgh Ghee Roast, Roti, Naan","Andhra, North Indian, Chinese, Seafood",800,Delivery,Bannerghatta Road,Premium,Good
More Pizza,Yes,No,3.8,46,"+91 9611111141
080 42229996",JP Nagar,Quick Bites,"Pizza, Garlic Bread, Chicken Lasagne",Pizza,450,Delivery,Bannerghatta Road,Medium,Good
Butterly,Yes,No,3.9,102,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450,Delivery,Bannerghatta Road,Medium,Good
Crafted Plate,Yes,Yes,4.2,237,"080 43023198
+91 8050088287",JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600,Delivery,Bannerghatta Road,Medium,Excellent
Shetty's Kitchen,Yes,No,3.7,108,+91 9900449437,Bannerghatta Road,Quick Bites,"Sea Food, Neer Dosa",Mangalorean,600,Delivery,Bannerghatta Road,Medium,Good
Machali Port,Yes,No,3.9,34,"+91 9113260882
+91 9886602028",JP Nagar,Casual Dining,"Sea Food, Anjal Masala Fry, Fish Curry, Thali, Neer Dosa","Mangalorean, Seafood, North Indian",750,Delivery,Bannerghatta Road,Premium,Good
Garma Garam,Yes,No,3.2,144,"+91 9986834292
+91 8660426565",Bannerghatta Road,Quick Bites,"Chicken Biryani, Butter Chicken","North Indian, Chinese, Biryani, Rolls",350,Delivery,Bannerghatta Road,Medium,Good
The Coastal Crew by Fujian on 24th,Yes,Yes,4.2,1028,"080 26499444
+91 8951516623",JP Nagar,"Casual Dining, Bar","Sea Food, Mocktails, Noodles, Murgh Ghee Roast, Cocktails, Tom Yum Soup, Spring Roll","Chinese, Thai, Seafood, North Indian, Momos",1100,Delivery,Bannerghatta Road,Premium,Excellent
BIB - Breakfast in the Box,Yes,No,3.8,84,+91 7005889963,Bannerghatta Road,Delivery,"Chicken Burger, English Breakfast, Corn Sandwich, French Fries, Bacon Fry, Beef Burger, Omelette","American, Sandwich",600,Delivery,Bannerghatta Road,Medium,Good
Tandoor And Spice,Yes,No,4,181,"+91 7204051010
+91 8073411669",JP Nagar,Casual Dining,"Egg Biryani, Tandoori Chicken, Chicken Biryani, Paneer Tikka, Mutton Biryani, Noodles, Dal Tadka","North Indian, Chinese, Biryani, Hyderabadi",550,Delivery,Bannerghatta Road,Medium,Excellent
Rock Stone Ice Cream Factory,Yes,No,4,128,"+91 8217517683
+91 9916997290",BTM,Dessert Parlor,"Icecream Cake, Brownie, Waffles, Chocolate Icecreams, Thick Shakes",Ice Cream,230,Delivery,Bannerghatta Road,Low,Excellent
Paratha Plaza,Yes,No,3.8,171,+91 9980526315,JP Nagar,Quick Bites,"Aloo Paratha, Manchurian",North Indian,250,Delivery,Bannerghatta Road,Low,Good
Namma Kudla,Yes,No,3.9,200,"080 42075762
+91 9448212907",JP Nagar,Quick Bites,"Sea Food, Neer Dosa, Fish, Crab Sukha, Biryani, Chicken Thali, Chicken Meal","Mangalorean, North Indian, Chinese, Seafood",400,Delivery,Bannerghatta Road,Medium,Good
Wangs Kitchen,Yes,No,3,114,080 39253925,Bannerghatta Road,Casual Dining,"Noodles, Momos",Chinese,1000,Delivery,Bannerghatta Road,Premium,Good
Spice Up,Yes,No,3.8,146,"080 26582546
080 32931154",JP Nagar,Casual Dining,"Chicken Lollipop, Vegetable Biryani, Noodles, Chicken Noodle, Clear Soup, Hot Pot, Coriander Chicken",Chinese,600,Delivery,Bannerghatta Road,Medium,Good
Tempteys,Yes,No,4.2,248,"+91 7349760223
+91 9611856377",BTM,"Dessert Parlor, Beverage Shop","Thick Shakes, Oreo Milkshake, Gelato, Oreo Shake, Choco Brownie, Caramel Coffee, Choco Shake",Beverages,500,Delivery,Bannerghatta Road,Medium,Excellent
Crumb Together,Yes,Yes,4.1,583,080 49652428,JP Nagar,"Casual Dining, Bar","Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani","Continental, Finger Food, North Indian, Chinese",1200,Delivery,Bannerghatta Road,Premium,Excellent
The Foodyz,Yes,No,3.7,42,"+91 9380002058
+91 8043759660",JP Nagar,Quick Bites,"Poha, Tea, Paratha","North Indian, Chinese",500,Delivery,Bannerghatta Road,Medium,Good
Black Mug Cafe,Yes,No,3.7,171,"+91 9845561119
+91 8095257151",Bannerghatta Road,Cafe,Coffee,Cafe,300,Delivery,Bannerghatta Road,Low,Good
Meat And Eat,Yes,No,3.7,79,+91 8144883399,JP Nagar,Quick Bites,"Burgers, Chicken Wings","Fast Food, Burger",500,Delivery,Bannerghatta Road,Medium,Good
Vinaya Coffee Moments,Yes,No,3.7,46,"+91 9538699211
080 49566825",JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta","Burger, Cafe, Desserts, Sandwich, Italian",450,Delivery,Bannerghatta Road,Medium,Good
Nagarjuna,No,No,4.2,1278,"080 41300400
080 41300500",Bannerghatta Road,Casual Dining,"Andhra Meal, Mutton Biryani, Pepper Chicken, Veg Thali, Chicken Guntur, Raita, Chicken Kebab","Andhra, Biryani",800,Delivery,Bannerghatta Road,Premium,Excellent
Laddoos,Yes,No,3.4,276,080 40991947,BTM,"Quick Bites, Dessert Parlor","Chaat, Panipuri, Lassi, Gol Gappe, Paratha, Pav Bhaji, Samosa","North Indian, Street Food, Mithai",250,Delivery,Bannerghatta Road,Low,Good
New Prashanth Hotel,Yes,No,3.1,64,+91 9902219219,JP Nagar,Casual Dining,"Mutton Biryani, Chicken Biryani","South Indian, Biryani, Chinese, North Indian",750,Delivery,Bannerghatta Road,Premium,Good
Waffle Stories,Yes,No,4,69,+91 9916992866,BTM,Dessert Parlor,"Waffles, Brownie Sundae","Desserts, Beverages",300,Delivery,Bannerghatta Road,Low,Excellent
Late Night,Yes,No,3.7,288,"+91 8884932323
080 65652324",Kumaraswamy Layout,Quick Bites,"Panneer Butter Masala, Manchurian, Noodles, Tandoori Roti, Naan, Paratha, French Fries","North Indian, Chinese",500,Delivery,Bannerghatta Road,Medium,Good
Waffle Walle,Yes,No,4.3,676,+91 8105902392,Bannerghatta Road,Kiosk,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles","Desserts, Belgian, Beverages",500,Delivery,Bannerghatta Road,Medium,Excellent
Dakshin Cafe,Yes,No,4.1,140,+91 9916806236,JP Nagar,Quick Bites,"Vada, Masala Dosa, Filter Coffee, Kesari Bath, Kharabath, Open Dosa",South Indian,100,Delivery,Bannerghatta Road,Low,Excellent
Shake It Off,Yes,No,4,65,+91 9008002832,JP Nagar,Beverage Shop,"Thick Shakes, Maggi, Peri Peri Fries, Sandwich, Momos","Beverages, Fast Food",600,Delivery,Bannerghatta Road,Medium,Excellent
Two Friends Cauldron,Yes,Yes,4.1,448,080 49652809,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza","Continental, Italian, American",700,Delivery,Bannerghatta Road,Medium,Excellent
Bun Town,Yes,No,4,203,080 26686499,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Cup Cake","Cafe, Bakery",500,Delivery,Bannerghatta Road,Medium,Excellent
Pot Biryani,Yes,No,3.1,166,"+91 9632091611
+91 9632084026",Bannerghatta Road,Quick Bites,Chicken Biryani,"North Indian, Chinese, Biryani, Seafood",600,Delivery,Bannerghatta Road,Medium,Good
Mango Tree- The Beer Garden,Yes,Yes,4.1,1320,"+91 9880863789
080 26851030",JP Nagar,Casual Dining,"Dragon Chicken, Mutton Biryani, Mocktails, Dal Makhani, Rumali Roti, Butter Naan, Paneer Tikka","North Indian, Chinese, Continental",1200,Delivery,Bannerghatta Road,Premium,Excellent
The Jade Kitchen,Yes,No,4,116,080 48527978,JP Nagar,Casual Dining,"Manchow Soup, Noodles, Dragon Rolls, Honey Chilli Potatoes, Spring Roll","Chinese, Thai",400,Delivery,Bannerghatta Road,Medium,Excellent
Drunken Monkey,Yes,No,4.4,288,"+91 8618471544
+91 9148489793",Bannerghatta Road,"Beverage Shop, Quick Bites","Chicken Tikka Sandwich, Hot Chocolate Brownie, Red Velvet Shake, Chicken Sandwiches, French Fries, Cheese Sandwich, Irish Cream Coffee","Beverages, Fast Food",400,Delivery,Bannerghatta Road,Medium,Excellent
Woodee Pizza,Yes,No,2.7,85,+91 7406827272,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Delivery,Bannerghatta Road,Medium,Poor
Funky Punjab,Yes,No,3.9,124,+91 8884449474,BTM,Quick Bites,"Roti, Dal Makhani, Lassi, Panneer Butter Masala, Kulcha, Masala Papad, Butter Chicken","North Indian, Chinese",400,Delivery,Bannerghatta Road,Medium,Good
Intalia,Yes,No,3.6,323,"080 49511151
080 49511151",Bannerghatta Road,Food Court,"Pasta, Garlic Bread, Salads, Chicken Lasagne, Blueberry Cheesecake, Salad, Thin Crust Pizza","Pizza, Italian",800,Delivery,Bannerghatta Road,Premium,Good
Hotel Aradhana,Yes,No,3.7,51,"+91 9731763663
+91 9448059620",Bannerghatta Road,Quick Bites,"Akki Rottis, Neer Dosa",North Indian,300,Delivery,Bannerghatta Road,Low,Good
The Chervil,Yes,No,4.2,229,"+91 9742891444
+91 9742890444",JP Nagar,Casual Dining,"Peri Peri Chicken Wings, Mix Grill Sizzler, Fish, Murgh Ghee Roast, Biryani, Caramel Custard, Paneer Tikka Masala","North Indian, Continental",1000,Delivery,Bannerghatta Road,Premium,Excellent
New Royal Treat,Yes,No,2.8,102,"+91 7676992244
+91 8041153336",Bannerghatta Road,Quick Bites,"Roti, Chicken Biryani","North Indian, Chinese",350,Delivery,Bannerghatta Road,Medium,Poor
